Customer_ID,Customer_Name,Gender,Age,City,State,Customer_Type,Join_Date
1001,Sara Khan,Female,37,Delhi,Delhi,New,2024-05-22
1002,Aditya Khan,Male,25,Pune,Maharashtra,Returning,2024-02-02
1003,Aarav Khan,Male,34,Ghaziabad,Uttar Pradesh,Returning,2024-01-28
1004,Meera Gupta,Female,46,Pune,Maharashtra,New,2025-08-26
1005,Kabir Sharma,Male,47,Gurugram,Haryana,New,2024-06-08
1006,Priya Mehta,Female,25,Noida,Uttar Pradesh,New,2025-01-02
1007,Ishaan Mehta,Male,36,Bengaluru,Karnataka,Returning,2025-04-15
1008,Meera Khan,Female,25,Lucknow,Uttar Pradesh,Returning,2025-10-05
1009,Vihaan Mehta,Male,32,Bengaluru,Karnataka,Returning,2024-02-16
1010,Sara Gupta,Female,25,Faridabad,Haryana,Premium,2024-04-13
1011,Zoya Singh,Female,60,Chandigarh,Chandigarh,Returning,2024-06-15
1012,Ananya Mehta,Female,37,Ghaziabad,Uttar Pradesh,Returning,2025-11-30
1013,Sara Khan,Female,60,Bengaluru,Karnataka,New,2024-09-07
1014,Rohan Joshi,Male,37,Lucknow,Uttar Pradesh,Premium,2025-10-17
1015,Aditya Malik,Male,40,Ghaziabad,Uttar Pradesh,Returning,2024-02-27
1016,Priya Sharma,Female,45,Jaipur,Rajasthan,New,2024-08-04
1017,Kavya Kapoor,Female,33,Jaipur,Rajasthan,Returning,2025-02-09
1018,Kavya Joshi,Female,36,Gurugram,Haryana,New,2025-07-28
1019,Meera Singh,Female,47,Bengaluru,Karnataka,Premium,2025-02-12
1020,Ananya Gupta,Female,52,Gurugram,Haryana,Returning,2024-02-18
1021,Ishaan Khan,Male,60,Gurugram,Haryana,New,2025-11-27
1022,Zoya Kapoor,Female,44,Noida,Uttar Pradesh,New,2025-04-24
1023,Meera Singh,Female,20,Pune,Maharashtra,Returning,2024-04-27
1024,Sara Malik,Female,41,Faridabad,Haryana,New,2025-03-21
1025,Rohan Joshi,Male,36,Delhi,Delhi,Premium,2024-07-01
1026,Meera Khan,Female,60,Faridabad,Haryana,Returning,2024-07-22
1027,Rohan Mehta,Male,54,Gurugram,Haryana,Premium,2025-06-27
1028,Kavya Sharma,Female,40,Bengaluru,Karnataka,Returning,2024-04-24
1029,Kavya Mehta,Female,35,Faridabad,Haryana,New,2025-08-03
1030,Aisha Khan,Female,24,Chandigarh,Chandigarh,Premium,2025-06-29
1031,Neha Verma,Female,50,Gurugram,Haryana,Premium,2024-06-18
1032,Kabir Malik,Male,47,Bengaluru,Karnataka,Premium,2025-07-06
1033,Neha Gupta,Female,45,Faridabad,Haryana,Premium,2025-10-27
1034,Ananya Joshi,Female,48,Pune,Maharashtra,New,2024-08-18
1035,Aisha Mehta,Female,57,Delhi,Delhi,Returning,2025-08-25
1036,Priya Sharma,Female,60,Noida,Uttar Pradesh,New,2024-03-10
1037,Kavya Sharma,Female,24,Jaipur,Rajasthan,Returning,2024-10-12
1038,Sara Joshi,Female,54,Ghaziabad,Uttar Pradesh,New,2025-08-07
1039,Vihaan Joshi,Male,50,Ghaziabad,Uttar Pradesh,Returning,2024-07-13
1040,Aisha Khan,Female,42,Lucknow,Uttar Pradesh,New,2025-04-23
1041,Ishaan Sharma,Male,23,Noida,Uttar Pradesh,New,2024-12-13
1042,Neha Khan,Female,32,Ghaziabad,Uttar Pradesh,New,2025-04-04
1043,Rohan Patel,Male,37,Gurugram,Haryana,Returning,2024-03-18
1044,Arjun Malik,Male,23,Noida,Uttar Pradesh,Returning,2025-07-07
1045,Ishaan Sharma,Male,35,Noida,Uttar Pradesh,New,2025-05-12
